MONTH,DAY,DAY_OF_WEEK,AIRLINE_x,airline_name,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DISTANCE,DEPARTURE_DELAY,delayed,HOUR
2,6,5,OO,Skywest Airlines Inc.,TUS,SFO,600,751,-8.0,0,6
11,11,3,B6,JetBlue Airways,BOS,PHL,630,280,-4.0,0,6
5,8,5,EV,Atlantic Southeast Airlines,STL,IAH,1819,667,46.0,1,18
3,10,2,WN,Southwest Airlines Co.,BHM,MDW,1100,570,5.0,0,11
4,9,4,UA,United Air Lines Inc.,SFO,LAS,1530,414,149.0,1,15
1,29,4,NK,Spirit Air Lines,ORD,MCI,1411,403,-6.0,0,14
7,1,3,AA,American Airlines Inc.,BOS,LGA,1600,184,-5.0,0,16
9,30,3,OO,Skywest Airlines Inc.,COS,DEN,833,73,-3.0,0,8
5,17,7,B6,JetBlue Airways,BOS,RIC,1945,474,-7.0,0,19
12,19,6,AA,American Airlines Inc.,SLC,PHX,1059,507,5.0,0,10
10,11,7,WN,Southwest Airlines Co.,15016,11259,2110,546,3.0,0,21
3,9,1,WN,Southwest Airlines Co.,DCA,BNA,1520,562,-5.0,0,15
7,23,4,MQ,American Eagle Airlines Inc.,BHM,MIA,535,661,-8.0,0,5
10,10,6,EV,Atlantic Southeast Airlines,13930,15380,1215,224,-7.0,0,12
4,2,4,OO,Skywest Airlines Inc.,COS,IAH,1416,809,-9.0,0,14
12,2,3,DL,Delta Air Lines Inc.,LAX,ATL,535,1947,0.0,0,5
9,30,3,OO,Skywest Airlines Inc.,MRY,LAX,1701,266,64.0,1,17
12,28,1,AS,Alaska Airlines Inc.,SEA,PSP,830,987,-2.0,0,8
7,2,4,UA,United Air Lines Inc.,EWR,TPA,600,997,0.0,0,6
12,13,7,AA,American Airlines Inc.,DFW,PHX,600,868,-4.0,0,6
9,1,2,AA,American Airlines Inc.,SNA,ORD,1515,1726,54.0,1,15
6,30,2,AA,American Airlines Inc.,LGA,ORD,2100,733,17.0,1,21
5,18,1,US,US Airways Inc.,DCA,LGA,900,214,9.0,0,9
8,24,1,AA,American Airlines Inc.,DFW,BOS,1345,1562,-3.0,0,13
9,25,5,AA,American Airlines Inc.,LAX,ATL,2325,1947,-6.0,0,23
8,12,3,VX,Virgin America,SFO,DAL,1325,1476,2.0,0,13
11,2,1,EV,Atlantic Southeast Airlines,CVG,EWR,600,569,-2.0,0,6
7,15,3,DL,Delta Air Lines Inc.,RIC,ATL,1208,481,0.0,0,12
3,24,2,WN,Southwest Airlines Co.,RDU,TPA,1500,587,-2.0,0,15
3,23,1,WN,Southwest Airlines Co.,LAS,LAX,1725,236,5.0,0,17
12,24,4,EV,Atlantic Southeast Airlines,DFW,SHV,1515,190,19.0,1,15
10,15,4,WN,Southwest Airlines Co.,11996,10821,1920,426,11.0,0,19
4,6,1,US,US Airways Inc.,CLT,PIT,1145,366,-6.0,0,11
11,19,4,AA,American Airlines Inc.,PIT,CLT,1355,366,-2.0,0,13
8,3,1,VX,Virgin America,SFO,SAN,1005,447,13.0,0,10
7,17,5,AA,American Airlines Inc.,PIT,PHX,1735,1814,-6.0,0,17
8,30,7,UA,United Air Lines Inc.,JAC,ORD,733,1162,-5.0,0,7
2,4,3,WN,Southwest Airlines Co.,MDW,ATL,2045,591,19.0,1,20
5,6,3,EV,Atlantic Southeast Airlines,BTR,DFW,1215,383,18.0,1,12
10,30,5,AA,American Airlines Inc.,11298,13303,710,1121,-4.0,0,7
12,17,4,WN,Southwest Airlines Co.,SFO,SNA,855,372,-5.0,0,8
1,3,6,B6,JetBlue Airways,MCO,RIC,1300,667,-6.0,0,13
2,16,1,WN,Southwest Airlines Co.,DAY,BWI,600,406,-3.0,0,6
9,3,4,AA,American Airlines Inc.,MIA,MCO,2020,192,1.0,0,20
9,18,5,WN,Southwest Airlines Co.,MSY,MCO,1025,551,-6.0,0,10
2,3,2,WN,Southwest Airlines Co.,AMA,DAL,1520,323,-2.0,0,15
2,7,6,US,US Airways Inc.,CLT,EWR,955,529,-9.0,0,9
5,24,7,UA,United Air Lines Inc.,EWR,LAS,659,2227,-4.0,0,6
2,7,6,MQ,American Eagle Airlines Inc.,DFW,CLL,2035,164,-8.0,0,20
2,19,4,UA,United Air Lines Inc.,ORD,MCO,1321,1005,-1.0,0,13
11,8,7,AA,American Airlines Inc.,LAS,ORD,854,1514,-4.0,0,8
11,3,2,B6,JetBlue Airways,JFK,MCO,935,944,-5.0,0,9
6,24,3,WN,Southwest Airlines Co.,LAS,SFO,700,414,-5.0,0,7
2,10,2,WN,Southwest Airlines Co.,FLL,ALB,1115,1204,45.0,1,11
5,25,1,UA,United Air Lines Inc.,EWR,MSY,1931,1167,176.0,1,19
3,7,6,AA,American Airlines Inc.,LAX,BOS,1525,2611,9.0,0,15
3,13,5,DL,Delta Air Lines Inc.,ATL,DTW,1340,594,37.0,1,13
7,19,7,WN,Southwest Airlines Co.,SNA,SJC,1625,342,0.0,0,16
11,30,1,WN,Southwest Airlines Co.,ATL,MCO,1725,404,-3.0,0,17
8,12,3,MQ,American Eagle Airlines Inc.,CHA,ORD,1518,501,-8.0,0,15
2,10,2,WN,Southwest Airlines Co.,PHX,LAS,2010,255,-3.0,0,20
12,28,1,UA,United Air Lines Inc.,OGG,DEN,2300,3302,-12.0,0,23
6,8,1,EV,Atlantic Southeast Airlines,ATL,SGF,906,563,-6.0,0,9
6,5,5,UA,United Air Lines Inc.,EWR,SFO,1430,2565,52.0,1,14
4,23,4,OO,Skywest Airlines Inc.,BFL,PHX,630,425,-12.0,0,6
5,8,5,OO,Skywest Airlines Inc.,DEN,COS,1858,73,52.0,1,18
1,31,6,WN,Southwest Airlines Co.,LAS,IND,845,1590,-10.0,0,8
2,20,5,MQ,American Eagle Airlines Inc.,DFW,LFT,1625,351,25.0,1,16
2,26,4,UA,United Air Lines Inc.,MCO,ORD,745,1005,-4.0,0,7
9,27,7,OO,Skywest Airlines Inc.,SFO,MSP,1611,1589,-6.0,0,16
4,22,3,WN,Southwest Airlines Co.,LAS,OAK,525,407,14.0,0,5
7,8,3,AA,American Airlines Inc.,DFW,EGE,1715,721,-4.0,0,17
7,15,3,DL,Delta Air Lines Inc.,SNA,ATL,645,1919,0.0,0,6
6,1,1,MQ,American Eagle Airlines Inc.,MEM,MIA,539,859,-3.0,0,5
1,1,4,DL,Delta Air Lines Inc.,ATL,GSO,1855,306,-1.0,0,18
12,20,7,MQ,American Eagle Airlines Inc.,ROW,DFW,1639,435,-6.0,0,16
2,4,3,DL,Delta Air Lines Inc.,ATL,IAD,725,534,-1.0,0,7
6,7,7,B6,JetBlue Airways,MCO,SJU,1301,1189,-8.0,0,13
11,7,6,DL,Delta Air Lines Inc.,ATL,MCI,1209,692,13.0,0,12
9,11,5,WN,Southwest Airlines Co.,BWI,MHT,1455,377,-5.0,0,14
10,20,2,OO,Skywest Airlines Inc.,14869,15376,2005,601,-3.0,0,20
6,23,2,DL,Delta Air Lines Inc.,TRI,ATL,725,227,12.0,0,7
11,11,3,DL,Delta Air Lines Inc.,ATL,ATW,1935,765,5.0,0,19
7,21,2,WN,Southwest Airlines Co.,DTW,PHX,650,1671,14.0,0,6
2,25,3,B6,JetBlue Airways,MCO,JFK,937,944,-5.0,0,9
1,15,4,B6,JetBlue Airways,DCA,FLL,1030,899,-9.0,0,10
11,30,1,WN,Southwest Airlines Co.,MCO,DEN,1330,1546,2.0,0,13
7,7,2,B6,JetBlue Airways,CLE,BOS,1857,563,-1.0,0,18
2,4,3,B6,JetBlue Airways,BOS,RIC,1631,474,-12.0,0,16
5,15,5,B6,JetBlue Airways,ORH,FLL,1435,1211,6.0,0,14
12,7,1,OO,Skywest Airlines Inc.,PSC,DEN,1324,852,32.0,1,13
12,28,1,WN,Southwest Airlines Co.,SFO,SNA,1505,372,17.0,1,15
6,8,1,AS,Alaska Airlines Inc.,ANC,DLG,1035,329,6.0,0,10
9,26,6,WN,Southwest Airlines Co.,SAN,DEN,1255,853,-1.0,0,12
3,9,1,DL,Delta Air Lines Inc.,ATL,LIT,912,453,-7.0,0,9
4,10,5,AA,American Airlines Inc.,EWR,DFW,800,1372,-2.0,0,8
2,20,5,AA,American Airlines Inc.,DFW,STL,1405,550,-4.0,0,14
5,12,2,DL,Delta Air Lines Inc.,LAX,DTW,650,1979,-7.0,0,6
5,5,2,WN,Southwest Airlines Co.,MEM,MCO,1045,684,-8.0,0,10
6,24,3,WN,Southwest Airlines Co.,BWI,JAX,1730,663,71.0,1,17
6,28,7,OO,Skywest Airlines Inc.,COS,DEN,626,73,-7.0,0,6
11,15,7,EV,Atlantic Southeast Airlines,CVG,EWR,1954,569,-9.0,0,19
11,25,3,WN,Southwest Airlines Co.,HOU,BNA,645,670,8.0,0,6
9,23,3,UA,United Air Lines Inc.,SAN,SFO,1718,447,-8.0,0,17
12,20,7,WN,Southwest Airlines Co.,MDW,ATL,1240,591,-2.0,0,12
12,22,2,HA,Hawaiian Airlines Inc.,OGG,HNL,2148,100,-5.0,0,21
10,31,6,OO,Skywest Airlines Inc.,13487,11337,1125,144,-3.0,0,11
9,27,7,WN,Southwest Airlines Co.,FLL,BWI,1710,925,1.0,0,17
10,18,7,DL,Delta Air Lines Inc.,14869,12892,945,590,7.0,0,9
10,27,2,DL,Delta Air Lines Inc.,10397,11066,1425,447,34.0,1,14
12,30,3,DL,Delta Air Lines Inc.,SAN,SLC,615,626,0.0,0,6
5,29,5,MQ,American Eagle Airlines Inc.,ORD,GRR,840,137,-6.0,0,8
8,4,2,WN,Southwest Airlines Co.,HOU,LAX,900,1390,2.0,0,9
10,29,4,DL,Delta Air Lines Inc.,10397,11042,1410,554,-2.0,0,14
11,8,7,OO,Skywest Airlines Inc.,LAX,TUS,825,451,8.0,0,8
9,3,4,DL,Delta Air Lines Inc.,MSY,ATL,1815,425,55.0,1,18
12,6,7,OO,Skywest Airlines Inc.,LNK,MSP,1659,331,-3.0,0,16
11,28,6,AA,American Airlines Inc.,PHX,SFO,2045,651,-2.0,0,20
2,28,6,WN,Southwest Airlines Co.,LIT,PHX,855,1136,-2.0,0,8
12,9,3,WN,Southwest Airlines Co.,ISP,MCO,810,971,-3.0,0,8
1,28,3,OO,Skywest Airlines Inc.,DFW,LAX,1619,1235,4.0,0,16
10,28,3,AA,American Airlines Inc.,14492,14100,655,337,-7.0,0,6
6,14,7,WN,Southwest Airlines Co.,MSY,HOU,805,302,1.0,0,8
10,8,4,WN,Southwest Airlines Co.,13495,10693,1825,471,-5.0,0,18
11,30,1,UA,United Air Lines Inc.,DEN,EWR,1004,1605,25.0,1,10
8,27,4,WN,Southwest Airlines Co.,DAL,MSY,740,436,0.0,0,7
11,17,2,WN,Southwest Airlines Co.,BHM,HOU,1920,570,41.0,1,19
8,11,2,AS,Alaska Airlines Inc.,ORD,SEA,1530,1721,-8.0,0,15
2,27,5,OO,Skywest Airlines Inc.,FAT,SFO,1100,158,12.0,0,11
4,12,7,MQ,American Eagle Airlines Inc.,SGF,DFW,1610,364,16.0,1,16
2,9,1,MQ,American Eagle Airlines Inc.,DFW,ACT,1455,89,12.0,0,14
8,4,2,EV,Atlantic Southeast Airlines,IAH,BHM,1341,562,-4.0,0,13
12,28,1,WN,Southwest Airlines Co.,PVD,TPA,1445,1136,-1.0,0,14
1,23,5,EV,Atlantic Southeast Airlines,EWR,DCA,1649,199,-9.0,0,16
12,26,6,WN,Southwest Airlines Co.,OKC,PHX,1720,833,0.0,0,17
4,2,4,EV,Atlantic Southeast Airlines,PIA,ATL,600,565,-3.0,0,6
12,4,5,UA,United Air Lines Inc.,ORD,BOS,602,867,-3.0,0,6
3,15,7,DL,Delta Air Lines Inc.,TRI,ATL,720,227,-7.0,0,7
1,13,2,DL,Delta Air Lines Inc.,DTW,MCO,1407,957,-8.0,0,14
7,9,4,WN,Southwest Airlines Co.,SJC,PHX,1030,621,37.0,1,10
11,21,6,UA,United Air Lines Inc.,EWR,IAH,1005,1400,142.0,1,10
1,10,6,AA,American Airlines Inc.,DFW,SEA,2155,1660,63.0,1,21
8,15,6,EV,Atlantic Southeast Airlines,GRR,MSP,1004,408,-4.0,0,10
1,1,4,AS,Alaska Airlines Inc.,LAS,SEA,1050,867,-10.0,0,10
5,19,2,OO,Skywest Airlines Inc.,GJT,PHX,820,438,1.0,0,8
5,3,7,OO,Skywest Airlines Inc.,DEN,DRO,2219,251,-13.0,0,22
12,11,5,AA,American Airlines Inc.,DSM,PHX,750,1150,-4.0,0,7
4,14,2,AA,American Airlines Inc.,DFW,JAX,1505,918,6.0,0,15
10,24,6,MQ,American Eagle Airlines Inc.,14108,13930,632,130,-6.0,0,6
5,29,5,AS,Alaska Airlines Inc.,MSP,SEA,1625,1399,-2.0,0,16
8,13,4,AS,Alaska Airlines Inc.,LAX,SEA,1355,954,-2.0,0,13
8,31,1,DL,Delta Air Lines Inc.,MSP,RDU,1505,980,-6.0,0,15
9,17,4,UA,United Air Lines Inc.,EWR,IAH,632,1400,-5.0,0,6
7,18,6,DL,Delta Air Lines Inc.,MSP,GEG,857,1175,9.0,0,8
5,30,6,UA,United Air Lines Inc.,IAH,MCO,850,854,1.0,0,8
6,13,6,MQ,American Eagle Airlines Inc.,ORD,BNA,830,409,-1.0,0,8
12,2,3,DL,Delta Air Lines Inc.,ATL,SAT,839,874,-1.0,0,8
5,21,4,US,US Airways Inc.,PHX,BWI,2335,1999,-6.0,0,23
5,26,2,EV,Atlantic Southeast Airlines,ORD,LNK,933,466,-10.0,0,9
4,22,3,WN,Southwest Airlines Co.,LAS,ABQ,1640,486,5.0,0,16
4,30,4,AA,American Airlines Inc.,TUS,DFW,1250,813,-4.0,0,12
10,12,1,DL,Delta Air Lines Inc.,13303,12478,1455,1089,-8.0,0,14
12,31,4,UA,United Air Lines Inc.,SJU,IAH,1730,2007,8.0,0,17
6,23,2,UA,United Air Lines Inc.,MCO,SFO,1634,2446,10.0,0,16
9,21,1,WN,Southwest Airlines Co.,EWR,MDW,1225,711,-4.0,0,12
12,2,3,WN,Southwest Airlines Co.,LAS,SAN,1725,258,10.0,0,17
11,29,7,WN,Southwest Airlines Co.,ATL,PHX,800,1587,-2.0,0,8
2,24,2,NK,Spirit Air Lines,DTW,TPA,1053,983,-3.0,0,10
3,6,5,WN,Southwest Airlines Co.,DTW,STL,1935,440,24.0,1,19
12,23,3,AA,American Airlines Inc.,CLT,MIA,930,650,2.0,0,9
8,23,7,F9,Frontier Airlines Inc.,CLE,DEN,1245,1201,-8.0,0,12
2,23,1,OO,Skywest Airlines Inc.,ORD,CMH,609,296,-3.0,0,6
2,1,7,OO,Skywest Airlines Inc.,SLC,BTM,1110,358,-10.0,0,11
11,30,1,DL,Delta Air Lines Inc.,ATL,DCA,1220,547,-2.0,0,12
10,27,2,WN,Southwest Airlines Co.,13796,14107,1540,646,4.0,0,15
11,14,6,AA,American Airlines Inc.,SFO,DFW,1540,1464,-5.0,0,15
11,3,2,HA,Hawaiian Airlines Inc.,HNL,LIH,1332,102,-5.0,0,13
6,18,4,WN,Southwest Airlines Co.,BWI,ATL,615,577,-6.0,0,6
11,29,7,F9,Frontier Airlines Inc.,LAX,ATL,2315,1947,-5.0,0,23
3,20,5,WN,Southwest Airlines Co.,SFO,DEN,1420,967,-3.0,0,14
9,20,7,OO,Skywest Airlines Inc.,SFO,SLC,1740,599,-4.0,0,17
5,6,3,WN,Southwest Airlines Co.,DEN,MDW,2140,895,34.0,1,21
3,31,2,EV,Atlantic Southeast Airlines,ORD,LNK,1901,466,-5.0,0,19
7,16,4,WN,Southwest Airlines Co.,DEN,TUS,825,639,-1.0,0,8
8,8,6,OO,Skywest Airlines Inc.,BOI,SLC,1510,290,15.0,0,15
8,4,2,AA,American Airlines Inc.,DFW,SNA,1355,1205,-8.0,0,13
9,5,6,NK,Spirit Air Lines,ORD,LGA,1759,733,-4.0,0,17
7,30,4,UA,United Air Lines Inc.,ORD,HNL,905,4243,9.0,0,9
3,24,2,EV,Atlantic Southeast Airlines,MLU,ATL,1720,448,-4.0,0,17
8,30,7,UA,United Air Lines Inc.,JFK,LAX,1956,2475,24.0,1,19
5,1,5,WN,Southwest Airlines Co.,SEA,PHX,600,1107,-1.0,0,6
9,3,4,DL,Delta Air Lines Inc.,ATL,PHL,725,666,-2.0,0,7
1,4,7,UA,United Air Lines Inc.,ATL,EWR,1739,746,71.0,1,17
4,9,4,WN,Southwest Airlines Co.,MAF,DAL,900,319,-5.0,0,9
7,12,7,UA,United Air Lines Inc.,EWR,DEN,700,1605,-3.0,0,7
6,6,6,OO,Skywest Airlines Inc.,ORD,MBS,655,222,-6.0,0,6
6,12,5,WN,Southwest Airlines Co.,AUS,PHX,1225,872,-1.0,0,12
9,5,6,OO,Skywest Airlines Inc.,TVC,DTW,1018,207,-3.0,0,10
9,9,3,AA,American Airlines Inc.,DSM,PHX,800,1149,-10.0,0,8
3,6,5,MQ,American Eagle Airlines Inc.,DFW,CVG,720,812,-5.0,0,7
4,28,2,MQ,American Eagle Airlines Inc.,BNA,LGA,935,764,-4.0,0,9
4,5,7,WN,Southwest Airlines Co.,STL,MDW,1810,251,-3.0,0,18
1,27,2,WN,Southwest Airlines Co.,ABQ,SAN,1550,628,-5.0,0,15
9,26,6,WN,Southwest Airlines Co.,SMF,SEA,1045,605,-7.0,0,10
8,12,3,WN,Southwest Airlines Co.,DAL,MDW,2030,793,19.0,1,20
4,22,3,B6,JetBlue Airways,BUF,JFK,735,301,-10.0,0,7
7,27,1,AA,American Airlines Inc.,PHL,MCO,700,861,11.0,0,7
6,17,3,AS,Alaska Airlines Inc.,SEA,FAI,2140,1533,-1.0,0,21
6,19,5,WN,Southwest Airlines Co.,MAF,DAL,610,319,-2.0,0,6
1,1,4,B6,JetBlue Airways,JFK,PWM,2245,273,0.0,0,22
5,28,4,US,US Airways Inc.,MSY,CLT,1615,651,-2.0,0,16
10,6,2,AA,American Airlines Inc.,11298,11066,710,926,-7.0,0,7
12,10,4,WN,Southwest Airlines Co.,AUS,PHX,1125,872,-5.0,0,11
2,10,2,F9,Frontier Airlines Inc.,ATL,IAD,1400,534,-1.0,0,14
6,3,3,WN,Southwest Airlines Co.,PHX,MDW,600,1444,1.0,0,6
12,8,2,F9,Frontier Airlines Inc.,LAS,CLE,2210,1824,-8.0,0,22
12,7,1,AA,American Airlines Inc.,DFW,MCI,1348,460,-4.0,0,13
2,17,2,AA,American Airlines Inc.,DFW,BNA,1545,631,22.0,1,15
9,10,4,DL,Delta Air Lines Inc.,ANC,SEA,1755,1448,-6.0,0,17
4,18,6,B6,JetBlue Airways,DCA,BDL,830,313,-9.0,0,8
12,16,3,AS,Alaska Airlines Inc.,SEA,LAX,1555,954,-5.0,0,15
11,6,5,EV,Atlantic Southeast Airlines,IAH,SHV,1539,192,14.0,0,15
2,16,1,DL,Delta Air Lines Inc.,ATL,SJU,821,1547,-1.0,0,8
8,3,1,B6,JetBlue Airways,BQN,MCO,1242,1129,2.0,0,12
10,28,3,DL,Delta Air Lines Inc.,13495,12892,1313,1670,2.0,0,13
2,8,7,AA,American Airlines Inc.,ORD,SAN,900,1723,-7.0,0,9
2,15,7,WN,Southwest Airlines Co.,BWI,BNA,940,587,31.0,1,9
12,20,7,WN,Southwest Airlines Co.,SJC,LAX,1400,308,11.0,0,14
6,28,7,EV,Atlantic Southeast Airlines,ORD,TVC,1200,224,-1.0,0,12
10,9,5,B6,JetBlue Airways,14122,10721,2015,496,24.0,1,20
10,14,3,DL,Delta Air Lines Inc.,11775,13487,515,196,-5.0,0,5
9,5,6,WN,Southwest Airlines Co.,MDW,EWR,1930,711,-1.0,0,19
6,14,7,DL,Delta Air Lines Inc.,LAS,LAX,1311,236,-2.0,0,13
7,12,7,OO,Skywest Airlines Inc.,MKE,DEN,830,896,66.0,1,8
2,7,6,WN,Southwest Airlines Co.,MDW,EWR,1025,711,-1.0,0,10
3,26,4,WN,Southwest Airlines Co.,MDW,SJC,1740,1838,14.0,0,17
6,11,4,EV,Atlantic Southeast Airlines,BQK,ATL,1157,238,-3.0,0,11
10,21,3,B6,JetBlue Airways,11618,14027,1248,1023,10.0,0,12
6,17,3,WN,Southwest Airlines Co.,HOU,HRL,2205,277,57.0,1,22
6,19,5,EV,Atlantic Southeast Airlines,ROA,ATL,1614,357,-10.0,0,16
10,14,3,AA,American Airlines Inc.,11057,13930,2000,599,-4.0,0,20
7,10,5,DL,Delta Air Lines Inc.,BDL,MSP,1435,1050,-4.0,0,14
2,5,4,AA,American Airlines Inc.,DTW,MIA,640,1145,-3.0,0,6
5,6,3,WN,Southwest Airlines Co.,MHT,TPA,815,1204,-2.0,0,8
8,31,1,EV,Atlantic Southeast Airlines,EWR,MKE,1535,725,-4.0,0,15
7,6,1,DL,Delta Air Lines Inc.,ATL,JFK,1205,760,6.0,0,12
8,20,4,WN,Southwest Airlines Co.,ATL,HOU,1645,696,192.0,1,16
8,12,3,DL,Delta Air Lines Inc.,JFK,MSP,1100,1029,-4.0,0,11
7,29,3,DL,Delta Air Lines Inc.,TLH,ATL,1041,223,-5.0,0,10
12,6,7,WN,Southwest Airlines Co.,SAN,SEA,1510,1050,46.0,1,15
6,21,7,WN,Southwest Airlines Co.,LAS,OMA,800,1099,-5.0,0,8
1,12,1,AA,American Airlines Inc.,DFW,BDL,1855,1471,-3.0,0,18
8,7,5,EV,Atlantic Southeast Airlines,LNK,ORD,510,466,-6.0,0,5
1,22,4,OO,Skywest Airlines Inc.,AMA,DEN,1238,359,-10.0,0,12
6,14,7,OO,Skywest Airlines Inc.,CVG,DEN,2026,1069,30.0,1,20
3,30,1,WN,Southwest Airlines Co.,PHL,FLL,1435,992,63.0,1,14
7,12,7,DL,Delta Air Lines Inc.,ATL,PIT,1105,526,-5.0,0,11
1,4,7,UA,United Air Lines Inc.,EGE,IAH,1439,934,18.0,1,14
6,19,5,DL,Delta Air Lines Inc.,FLL,ATL,540,581,5.0,0,5
7,19,7,UA,United Air Lines Inc.,BOS,IAH,1722,1597,47.0,1,17
9,2,3,OO,Skywest Airlines Inc.,SLC,PIH,1345,150,-11.0,0,13
9,26,6,OO,Skywest Airlines Inc.,SFO,TUS,1730,751,-6.0,0,17
9,25,5,B6,JetBlue Airways,HOU,BOS,1810,1609,11.0,0,18
10,14,3,WN,Southwest Airlines Co.,10721,13232,1245,861,-4.0,0,12
5,19,2,WN,Southwest Airlines Co.,OAK,LAX,525,337,-1.0,0,5
6,7,7,OO,Skywest Airlines Inc.,RST,MSP,1242,76,-4.0,0,12
10,19,1,OO,Skywest Airlines Inc.,14771,10140,1100,896,2.0,0,11
2,9,1,DL,Delta Air Lines Inc.,RDU,ATL,1213,356,14.0,0,12
3,23,1,DL,Delta Air Lines Inc.,SFO,ATL,900,2139,-3.0,0,9
8,10,1,DL,Delta Air Lines Inc.,EWR,SLC,1730,1969,-7.0,0,17
3,14,6,AA,American Airlines Inc.,DFW,LAS,2130,1055,-3.0,0,21
1,13,2,WN,Southwest Airlines Co.,OMA,PHX,1425,1037,2.0,0,14
10,5,1,DL,Delta Air Lines Inc.,13487,11637,1950,223,-2.0,0,19
10,12,1,AA,American Airlines Inc.,10423,11298,1959,190,-9.0,0,19
6,3,3,EV,Atlantic Southeast Airlines,DTW,ELM,1520,332,-5.0,0,15
9,2,3,DL,Delta Air Lines Inc.,ATL,VPS,1340,250,-3.0,0,13
11,8,7,OO,Skywest Airlines Inc.,PSP,IAH,1305,1269,-13.0,0,13
10,17,6,DL,Delta Air Lines Inc.,10397,11066,2210,447,-4.0,0,22
5,10,7,EV,Atlantic Southeast Airlines,ORD,TYS,2112,475,62.0,1,21
5,14,4,NK,Spirit Air Lines,IAH,MCI,925,643,17.0,1,9
4,17,5,AA,American Airlines Inc.,DFW,MIA,1205,1121,262.0,1,12
9,21,1,DL,Delta Air Lines Inc.,LGA,BOS,659,184,0.0,0,6
2,2,1,NK,Spirit Air Lines,IAH,LAX,1524,1379,117.0,1,15
8,26,3,B6,JetBlue Airways,BOS,BWI,1925,369,-3.0,0,19
7,31,5,AA,American Airlines Inc.,ORD,MIA,1500,1197,14.0,0,15
3,8,7,WN,Southwest Airlines Co.,PIT,MDW,1725,402,5.0,0,17
7,6,1,OO,Skywest Airlines Inc.,FCA,DEN,1053,752,-3.0,0,10
11,16,1,AA,American Airlines Inc.,ORD,PHX,705,1440,-1.0,0,7
2,15,7,OO,Skywest Airlines Inc.,DEN,LNK,955,423,-2.0,0,9
9,29,2,AA,American Airlines Inc.,DFW,SEA,1205,1660,-7.0,0,12
4,8,3,EV,Atlantic Southeast Airlines,GSO,ORD,720,589,-8.0,0,7
3,20,5,WN,Southwest Airlines Co.,STL,DAL,1610,546,-6.0,0,16
3,2,1,MQ,American Eagle Airlines Inc.,CMI,ORD,1423,135,18.0,1,14
2,26,4,OO,Skywest Airlines Inc.,EUG,DEN,1522,996,64.0,1,15
2,9,1,AA,American Airlines Inc.,SFO,ORD,2330,1846,-11.0,0,23
10,9,5,OO,Skywest Airlines Inc.,14869,11638,1520,501,-9.0,0,15
10,19,1,DL,Delta Air Lines Inc.,15016,11433,1830,440,4.0,0,18
3,22,7,DL,Delta Air Lines Inc.,ATL,RDU,2106,356,-2.0,0,21
1,18,7,AA,American Airlines Inc.,DFW,MIA,1855,1121,-4.0,0,18
4,21,2,EV,Atlantic Southeast Airlines,LCH,IAH,1726,127,21.0,1,17
4,22,3,MQ,American Eagle Airlines Inc.,GJT,DFW,750,773,-8.0,0,7
4,4,6,NK,Spirit Air Lines,LAS,SAN,1331,258,36.0,1,13
1,29,4,DL,Delta Air Lines Inc.,LGA,MSP,1015,1020,1.0,0,10
6,5,5,EV,Atlantic Southeast Airlines,DFW,FSM,1230,227,16.0,1,12
8,1,6,DL,Delta Air Lines Inc.,RSW,ATL,545,515,-7.0,0,5
2,15,7,DL,Delta Air Lines Inc.,MSP,OMA,2012,282,-2.0,0,20
7,19,7,WN,Southwest Airlines Co.,PVD,MDW,1220,842,10.0,0,12
4,9,4,WN,Southwest Airlines Co.,MKE,LAS,650,1524,22.0,1,6
4,13,1,MQ,American Eagle Airlines Inc.,DFW,MOB,2020,539,23.0,1,20
9,29,2,WN,Southwest Airlines Co.,MDW,PVD,2150,842,-12.0,0,21
3,3,2,B6,JetBlue Airways,BOS,EWR,920,200,-6.0,0,9
3,22,7,UA,United Air Lines Inc.,IAH,DCA,1555,1208,5.0,0,15
9,10,4,WN,Southwest Airlines Co.,DCA,FLL,1200,899,17.0,1,12
5,17,7,WN,Southwest Airlines Co.,LAS,ELP,955,583,27.0,1,9
11,2,1,MQ,American Eagle Airlines Inc.,MGM,DFW,720,622,-7.0,0,7
5,15,5,AA,American Airlines Inc.,CLT,IAH,1759,912,28.0,1,17
11,13,5,EV,Atlantic Southeast Airlines,LFT,IAH,1906,201,-8.0,0,19
2,25,3,AS,Alaska Airlines Inc.,PDX,ORD,1025,1739,-3.0,0,10
4,2,4,DL,Delta Air Lines Inc.,SYR,ATL,545,794,0.0,0,5
8,1,6,AA,American Airlines Inc.,CLT,EWR,1116,529,-4.0,0,11
9,8,2,DL,Delta Air Lines Inc.,BOS,ATL,1330,946,3.0,0,13
5,20,3,DL,Delta Air Lines Inc.,LGA,ATL,759,762,3.0,0,7
5,27,3,DL,Delta Air Lines Inc.,SAN,JFK,633,2446,-8.0,0,6
3,11,3,US,US Airways Inc.,MKE,PHX,705,1460,-6.0,0,7
6,24,3,WN,Southwest Airlines Co.,MCI,DAL,830,460,-2.0,0,8
7,10,5,WN,Southwest Airlines Co.,PHX,SJC,530,621,-6.0,0,5
10,24,6,AA,American Airlines Inc.,12758,14107,2245,2860,-10.0,0,22
10,20,2,DL,Delta Air Lines Inc.,10397,11252,1205,366,0.0,0,12
